21.5,22.0,23.1,24.0,25.2,26.3,27.4,28.0,29.1,30.2
22.1,23.5,24.6,25.3,26.0,27.1,28.3,29.4,30.5,31.0
23.0,24.0,25.0,26.1,27.2,28.3,29.4,30.1,31.2,32.0
24.5,25.1,26.0,27.3,28.4,29.5,30.2,31.3,32.1,33.0
25.2,26.3,27.4,28.0,29.1,30.2,31.3,32.4,33.5,34.1
26.0,27.0,28.1,29.2,30.3,31.0,32.1,33.2,34.0,35.0
27.2,28.3,29.4,30.5,31.2,32.0,33.1,34.2,35.1,36.0
28.0,29.1,30.0,31.3,32.4,33.5,34.6,35.2,36.3,37.1
29.3,30.2,31.1,32.0,33.3,34.1,35.2,36.0,37.2,38.0
30.0,31.0,32.2,33.0,34.0,35.1,36.0,37.2,38.1,39.0
